_time,_value,instance_id
22/03/2024 15:00,4.402340216,
22/03/2024 15:05,4.3864797,
22/03/2024 15:10,4.389475688,
22/03/2024 15:15,4.314355183,
22/03/2024 15:20,4.255112437,
22/03/2024 15:25,4.253790163,
22/03/2024 15:30,4.382193306,
22/03/2024 15:35,4.394550729,
22/03/2024 15:40,4.341017856,
22/03/2024 15:45,4.325702033,
22/03/2024 15:50,4.375420297,
22/03/2024 15:55,4.379396157,
22/03/2024 16:00,4.333203057,
22/03/2024 16:05,4.241375622,
22/03/2024 16:10,4.327444508,
22/03/2024 16:15,4.346049715,
22/03/2024 16:20,4.345796141,
22/03/2024 16:25,4.288790058,
22/03/2024 16:30,4.463509604,
22/03/2024 16:35,4.389121697,
22/03/2024 16:40,4.366708226,
22/03/2024 16:45,4.263754746,
22/03/2024 16:50,4.212203716,
22/03/2024 16:55,4.378038463,
22/03/2024 17:00,4.36093202,
22/03/2024 17:05,4.365596162,
22/03/2024 17:10,4.372209076,
22/03/2024 17:15,4.366553682,
22/03/2024 17:20,4.398979866,
22/03/2024 17:25,4.369318261,
22/03/2024 17:30,4.312795667,
22/03/2024 17:35,4.207707488,
22/03/2024 17:40,4.35121037,
22/03/2024 17:45,4.353334147,
22/03/2024 17:50,4.422592836,
22/03/2024 17:55,4.388443597,
22/03/2024 18:00,4.4118663,
22/03/2024 18:05,4.432865556,
22/03/2024 18:10,4.423614973,
22/03/2024 18:15,4.338349919,
22/03/2024 18:20,4.19728404,
22/03/2024 18:25,4.405897496,
22/03/2024 18:30,4.410159506,
22/03/2024 18:35,4.382548225,
22/03/2024 18:40,4.365101012,
22/03/2024 18:45,4.355398111,
22/03/2024 18:50,4.375517112,
22/03/2024 18:55,4.289971397,
22/03/2024 19:00,4.183381977,
22/03/2024 19:05,4.313183558,
22/03/2024 19:10,4.294178649,
22/03/2024 19:15,4.372633923,
22/03/2024 19:20,4.334785482,
22/03/2024 19:25,4.366496178,
22/03/2024 19:30,4.379487187,
22/03/2024 19:35,4.328389941,
22/03/2024 19:40,4.243215909,
22/03/2024 19:45,4.253505182,
22/03/2024 19:50,4.307650823,
22/03/2024 19:55,4.322884093,
22/03/2024 20:00,4.379672919,
22/03/2024 20:05,4.411776853,
22/03/2024 20:10,4.375139277,
22/03/2024 20:15,4.366980238,
22/03/2024 20:20,4.272951226,
22/03/2024 20:25,4.337760285,
22/03/2024 20:30,4.357494874,
22/03/2024 20:35,4.317618131,
22/03/2024 20:40,4.347200277,
22/03/2024 20:45,4.427169028,
22/03/2024 20:50,4.433891462,
22/03/2024 20:55,4.378982491,
22/03/2024 21:00,4.413886618,
22/03/2024 21:05,4.358325591,
22/03/2024 21:10,4.426942935,
22/03/2024 21:15,4.397516227,
22/03/2024 21:20,4.340589046,
22/03/2024 21:25,4.401661515,
22/03/2024 21:30,4.428027684,
22/03/2024 21:35,4.426276633,
22/03/2024 21:40,4.420570257,
22/03/2024 21:45,4.292129305,
22/03/2024 21:50,4.427392015,
22/03/2024 21:55,4.406438933,
22/03/2024 22:00,4.385147787,
22/03/2024 22:05,4.282779142,
22/03/2024 22:10,4.320782015,
22/03/2024 22:15,4.375300696,
22/03/2024 22:20,4.354504236,
22/03/2024 22:25,4.70892897,
22/03/2024 22:30,4.388761756,
22/03/2024 22:35,4.407045446,
22/03/2024 22:40,4.410273173,
22/03/2024 22:45,4.286182477,
22/03/2024 22:50,4.64728144,
22/03/2024 22:55,4.365624522,
22/03/2024 23:00,4.41050342,
22/03/2024 23:05,4.319819486,
22/03/2024 23:10,4.338020819,
22/03/2024 23:15,4.382105064,
22/03/2024 23:20,4.343947673,
22/03/2024 23:25,4.343816329,
22/03/2024 23:30,4.301768989,
22/03/2024 23:35,4.228703464,
22/03/2024 23:40,4.355613562,
22/03/2024 23:45,4.338541071,
22/03/2024 23:50,4.308858614,
22/03/2024 23:55,4.380751608,
23/03/2024 0:00,4.438598841,
23/03/2024 0:05,4.362676637,
23/03/2024 0:10,4.364609317,
23/03/2024 0:15,4.263620649,
23/03/2024 0:20,4.258117633,
23/03/2024 0:25,4.35074232,
23/03/2024 0:30,4.305303836,
23/03/2024 0:35,4.360329654,
23/03/2024 0:40,4.361730409,
23/03/2024 0:45,4.369844378,
23/03/2024 0:50,4.394150539,
23/03/2024 0:55,4.37306183,
23/03/2024 1:00,4.292512977,
23/03/2024 1:05,4.265085664,
23/03/2024 1:10,4.216979877,
23/03/2024 1:15,4.358131296,
23/03/2024 1:20,4.367199859,
23/03/2024 1:25,4.375081882,
23/03/2024 1:30,4.392023309,
